Data pulled on 10/29/2014 at 20:34:47
username, number of edits, percent of total edits
Doc James,569,0.0729767859433
TylerDurden8823,190,0.0243683468001
ChyranandChloe,126,0.0161600615621
Gandydancer,95,0.0121841734
Lavateraguy,92,0.0117994100295
Scottperry,89,0.011414646659
ClueBot,87,0.0111581377453
Eyrian,79,0.0101321020905
Nodove,71,0.00910606643581
ClueBot NG,62,0.00795177632423
Meodipt,50,0.00641272284212
TorstenMandal,45,0.00577145055791
Boghog,45,0.00577145055791
Xqxf,43,0.00551494164422
Ohnoitsjamie,38,0.00487366936001
Prokaryotes,34,0.00436065153264
AnomieBOT,33,0.0042323970758
Read-write-services,28,0.00359112479159
Corker1,27,0.00346287033474
Denisarona,27,0.00346287033474
Pbmaise,27,0.00346287033474
FT2,26,0.0033346158779
Iohannes Animosus,25,0.00320636142106
Sperber,25,0.00320636142106
Keepcalmandcarryon,25,0.00320636142106
ViperNerd,23,0.00294985250737
Lgkkitkat,23,0.00294985250737
Ce-boHemFe,22,0.00282159805053
Graham Beards,21,0.00269334359369
Jytdog,21,0.00269334359369
66.108.191.45,20,0.00256508913685
7mike5000,20,0.00256508913685
FeatherPluma,19,0.00243683468001
Serephine,18,0.00230858022316
Zad68,18,0.00230858022316
SmackBot,17,0.00218032576632
Rtc,16,0.00205207130948
CFCF,16,0.00205207130948
Old Moonraker,16,0.00205207130948
Vfrickey,15,0.00192381685264
Robertpedley,15,0.00192381685264
101.177.249.68,15,0.00192381685264
Zedshort,14,0.00179556239579
GB fan,14,0.00179556239579
Geraldshields11,14,0.00179556239579
Deli nk,14,0.00179556239579
Wikidgood,13,0.00166730793895
J.delanoy,13,0.00166730793895
Gciriani,13,0.00166730793895
31.48.175.145,13,0.00166730793895
Biomedicinal,12,0.00153905348211
207.255.149.2,12,0.00153905348211
80.53.72.202,12,0.00153905348211
Malljaja,12,0.00153905348211
DocWatson42,12,0.00153905348211
67.165.192.163,12,0.00153905348211
RexNL,12,0.00153905348211
98.199.167.114,12,0.00153905348211
