revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,,,,,,,
95294,Magnus Manske,1060,1060,0,0,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=95294&oldid=0,*,,,,,,,,,,,,,,,,,
95336,Magnus Manske,1100,40,538,538,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=95336&oldid=95294,linking existing articles Ebola Zaire and Ebola Sudan,,,,,,,,,,,,,,,,,
97129,Magnus Manske,1304,204,4514,3976,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97129&oldid=95336,#NAME?,,,,,,,,,,,,,,,,,
97192,62.253.64.7,2529,1225,164109,159595,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97192&oldid=97129,merged EHF article,,,,,,,,,,,,,,,,,
97201,62.253.64.7,2531,2,170550,6441,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97201&oldid=0,*,,,,,,,,,,,,,,,,,
97202,213.253.40.192,2595,64,170854,304,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97202&oldid=97201,caused by the '''Ebola virus''', added subheads,,,,,,,,,,,,,,,,
97206,213.253.40.192,2630,35,170904,50,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97206&oldid=97202,trying to make things clearer,,,,,,,,,,,,,,,,,
97220,213.253.40.192,2694,64,171027,123,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97220&oldid=97206,*lots of linking#,,,,,,,,,,,,,,,,,
97223,213.253.40.192,2723,29,172949,1922,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97223&oldid=97220,near where the first outbreak was noted by Dr. [[Ngoy Mushola]] in 1976,,,,,,,,,,,,,,,,,
97508,213.253.40.192,2785,62,173081,132,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97508&oldid=97223,added another external link,,,,,,,,,,,,,,,,,
97514,Mav,2832,47,197798,24717,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=97514&oldid=97508,'merican spelin,,,,,,,,,,,,,,,,,
102228,Mav,2828,-4,198187,389,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=102228&oldid=97514,link fix,,,,,,,,,,,,,,,,,
107735,Mav,2828,0,589751,391564,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=107735&oldid=0,moving to a home where the fever and virus can both be discussed at length,,,,,,,,,,,,,,,,,
150253,LC,2844,16,1175009,585258,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=150253&oldid=107735,fix link,,,,,,,,,,,,,,,,,
181691,AxelBoldt,2846,2,4934825,3759816,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=181691&oldid=150253,occured -> occurred,,,,,,,,,,,,,,,,,
198771,Mintguy,2847,1,6500387,1565562,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=198771&oldid=181691,spelling,,,,,,,,,,,,,,,,,
198788,Eclecticology,2847,0,7171393,671006,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=198788&oldid=198771,fever moved,,,,,,,,,,,,,,,,,
213305,Eclecticology,2847,0,7171902,509,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=213305&oldid=198788,,,,,,,,,,,,,,,,,,
315637,Andre Engels,2971,124,7696098,524196,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=315637&oldid=198771,moving 'Ebola haemorrhagic fever' back here,,,,,,,,,,,,,,,,,
316581,Andre Engels,2971,0,8911656,1215558,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=316581&oldid=315637,,,,,,,,,,,,,,,,,,
605114,Mav,2962,-9,8938042,26386,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=605114&oldid=316581,,,,,,,,,,,,,,,,,,
680648,Olivier,2965,3,19014365,10076323,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=680648&oldid=605114,,,,,,,,,,,,,,,,,,
681353,Kwertii,3104,139,21494659,2480294,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=681353&oldid=680648,copyediting,,,,,,,,,,,,,,,,,
693552,Mav,3021,-83,21518260,23601,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=693552&oldid=681353,fm,,,,,,,,,,,,,,,,,
992138,Ams80,3021,0,21840249,321989,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=992138&oldid=693552,Redirected link,,,,,,,,,,,,,,,,,
1075162,Samuel,3070,49,30495284,8655035,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1075162&oldid=992138,add zh,,,,,,,,,,,,,,,,,
1138589,Ed Cormany,3025,-45,32299084,1803800,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1138589&oldid=1075162,rm essentially duplicate sentence,,,,,,,,,,,,,,,,,
1291886,Mintguy,3021,-4,33832599,1533515,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1291886&oldid=1138589,,,,,,,,,,,,,,,,,,
1645491,68.67.112.91,3488,467,36775691,2943092,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1645491&oldid=1291886,Vaccine info,,,,,,,,,,,,,,,,,
1685781,12.33.164.8,3487,-1,43340652,6564961,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1685781&oldid=1645491,,,,,,,,,,,,,,,,,,
1732681,Minesweeper,3530,43,44054502,713850,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1732681&oldid=1685781,disambig CDC,,,,,,,,,,,,,,,,,
1854514,Poor Yorick,3531,1,44661173,606671,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1854514&oldid=1732681,sp,,,,,,,,,,,,,,,,,
1855269,Radical edward,15251,11720,46192305,1531132,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1855269&oldid=1854514,Major rewrite of the page.,,,,,,,,,,,,,,,,,
1858910,Hashar,15264,13,46200386,8081,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1858910&oldid=1855269,fr:,,,,,,,,,,,,,,,,,
1858916,Radical edward,15731,467,46253332,52946,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1858916&oldid=1858910,Added picture and source of information.,,,,,,,,,,,,,,,,,
1858919,Radical edward,15223,-508,46253385,53,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1858919&oldid=1858916,Removed picture and information.,,,,,,,,,,,,,,,,,
1858930,Radical edward,15732,509,46253436,51,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1858930&oldid=1858919,Moved picture and information to correct spot.,,,,,,,,,,,,,,,,,
1858933,Radical edward,16074,342,46253663,227,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=1858933&oldid=1858930,Added image I created and source information.,,,,,,,,,,,,,,,,,
