Data pulled on 10/29/2014 at 11:05:59
username, number of edits, percent of total edits
SW3 5DL,266,0.174884944116
Epicgenius,114,0.0749506903353
Xqxf,95,0.0624589086128
Light show,92,0.060486522025
BlueAg09,55,0.0361604207758
Art LaPella,52,0.034188034188
Sy9045,41,0.0269559500329
Valereee,39,0.025641025641
Drbogdan,35,0.0230111768573
Rms125a@hotmail.com,33,0.0216962524655
Geogene,24,0.0157790927022
IRW0,23,0.0151216305062
Doc James,17,0.0111768573307
BatteryIncluded,16,0.0105193951348
Titanium Dragon,15,0.00986193293886
Veggies,14,0.00920447074293
Elvey,13,0.00854700854701
The Anome,12,0.00788954635108
Superm401,12,0.00788954635108
CorinneSD,12,0.00788954635108
AnomieBOT,11,0.00723208415516
Hello32020,11,0.00723208415516
Geraldshields11,11,0.00723208415516
Zad68,11,0.00723208415516
Ser Amantio di Nicolao,11,0.00723208415516
Gandydancer,10,0.00657462195924
Floydian,8,0.00525969756739
EoRdE6,8,0.00525969756739
Canuckian89,7,0.00460223537147
RoyGoldsmith,7,0.00460223537147
Hydrargyrum,6,0.00394477317554
Ward20,6,0.00394477317554
Meatsgains,6,0.00394477317554
Greenbe,6,0.00394477317554
178.93.237.66,6,0.00394477317554
ClueBot NG,6,0.00394477317554
Impsswoon,6,0.00394477317554
Cafehunk,6,0.00394477317554
216.15.24.181,5,0.00328731097962
LeadSongDog,5,0.00328731097962
Gabby Merger,5,0.00328731097962
FriarTuck1981,5,0.00328731097962
Dekimasu,5,0.00328731097962
EatingGlassIsBad,5,0.00328731097962
Ebola1111,5,0.00328731097962
2014:f.ace,5,0.00328731097962
73.43.212.175,5,0.00328731097962
Gt24,4,0.00262984878369
24.18.233.198,4,0.00262984878369
138.210.202.94,4,0.00262984878369
Strafpeloton2,4,0.00262984878369
Onefireuser,4,0.00262984878369
Yellowdesk,4,0.00262984878369
Jackfin8221,4,0.00262984878369
Jwhester,4,0.00262984878369
Ozzie10aaaa,4,0.00262984878369
BrianGroen,4,0.00262984878369
Wnt,4,0.00262984878369
97.82.66.53,4,0.00262984878369
Gun Powder Ma,4,0.00262984878369
Super Goku V,4,0.00262984878369
Ricola.joe,3,0.00197238658777
Biosthmors,3,0.00197238658777
BG19bot,3,0.00197238658777
Jbarta,3,0.00197238658777
Agiufurta,3,0.00197238658777
Z22,3,0.00197238658777
70.168.62.52,3,0.00197238658777
