Data pulled on 10/29/2014 at 20:49:03
username, number of edits, percent of total edits
Jytdog,545,0.136762860728
Sunrise,120,0.030112923463
Semitransgenic,117,0.0293601003764
Ohnoitsjamie,81,0.0203262233375
Aircorn,50,0.0125470514429
ClueBot NG,40,0.0100376411543
Tsavage,34,0.00853199498118
SmackBot,32,0.00803011292346
Chendy,26,0.00652446675031
Cool Hand Luke,22,0.00552070263488
Arigoldberg,21,0.00526976160602
164.144.123.1,18,0.00451693851945
Apothecia,18,0.00451693851945
Old Moonraker,18,0.00451693851945
Nutriveg,17,0.00426599749059
Dialectric,16,0.00401505646173
AnomieBOT,15,0.00376411543287
Bobrayner,15,0.00376411543287
71.142.229.107,14,0.00351317440402
C.J. Griffin,14,0.00351317440402
2.25.75.234,13,0.00326223337516
Binksternet,13,0.00326223337516
InsufficientData,13,0.00326223337516
Gandydancer,13,0.00326223337516
JoeyJoJoShabbaduJr,13,0.00326223337516
ClueBot,12,0.0030112923463
67.172.39.136,12,0.0030112923463
Kenj0418,12,0.0030112923463
G27,12,0.0030112923463
Smartse,12,0.0030112923463
Kmhkmh,12,0.0030112923463
68.43.126.238,11,0.00276035131744
GDallimore,11,0.00276035131744
RjwilmsiBot,11,0.00276035131744
RoyBoy,11,0.00276035131744
70.173.72.36,11,0.00276035131744
Yobot,11,0.00276035131744
Petrarchan47,10,0.00250941028858
Yourmanstan,10,0.00250941028858
Sy9045,10,0.00250941028858
John Nevard,10,0.00250941028858
212.159.112.174,10,0.00250941028858
Byelf2007,10,0.00250941028858
Zigzig20s,9,0.00225846925972
Materialscientist,9,0.00225846925972
Kaempact,9,0.00225846925972
Svick,8,0.00200752823087
67.150.44.90,8,0.00200752823087
74.114.172.178,8,0.00200752823087
142.28.46.3,8,0.00200752823087
Stevenmitchell,8,0.00200752823087
Daveswagon,8,0.00200752823087
SylviaStanley,8,0.00200752823087
78.185.235.185,8,0.00200752823087
CajunGypsy,8,0.00200752823087
Station1,8,0.00200752823087
Scientus,7,0.00175658720201
Elchristador,7,0.00175658720201
The Devil's Advocate,7,0.00175658720201
Cullen328,7,0.00175658720201
NathanCWalker,7,0.00175658720201
174.95.141.66,7,0.00175658720201
64.134.236.52,7,0.00175658720201
Ground Zero,7,0.00175658720201
Wheelkeepturning,7,0.00175658720201
Eisit,7,0.00175658720201
Benzocane,7,0.00175658720201
Tide rolls,7,0.00175658720201
164.144.240.25,6,0.00150564617315
Tbhotch,6,0.00150564617315
J.delanoy,6,0.00150564617315
71.156.97.199,6,0.00150564617315
Freelion,6,0.00150564617315
201.195.204.42,6,0.00150564617315
Bgwhite,6,0.00150564617315
132.216.86.46,6,0.00150564617315
Gw2005,6,0.00150564617315
Wikidemon,6,0.00150564617315
Rjwilmsi,6,0.00150564617315
Excirial,6,0.00150564617315
208.255.229.66,5,0.00125470514429
Fireweed 007,5,0.00125470514429
Wavelength,5,0.00125470514429
67.150.41.31,5,0.00125470514429
Discospinster,5,0.00125470514429
Roxy the dog,5,0.00125470514429
Mdupont,5,0.00125470514429
Stratifornia,5,0.00125470514429
Tpbradbury,5,0.00125470514429
170.54.58.4,5,0.00125470514429
Heron,5,0.00125470514429
Favonian,5,0.00125470514429
4.156.234.223,5,0.00125470514429
Luckas-bot,5,0.00125470514429
Chimino,5,0.00125470514429
71.112.29.151,5,0.00125470514429
165.228.65.161,5,0.00125470514429
Cybercobra,5,0.00125470514429
Acaryatid,5,0.00125470514429
71.14.68.127,5,0.00125470514429
Tibbles81,5,0.00125470514429
164.144.248.25,4,0.00100376411543
Citation bot,4,0.00100376411543
173.167.230.21,4,0.00100376411543
99.236.221.124,4,0.00100376411543
71.83.150.12,4,0.00100376411543
216.107.218.222,4,0.00100376411543
Neerajphd,4,0.00100376411543
68.6.68.187,4,0.00100376411543
98.155.21.76,4,0.00100376411543
Shea1977,4,0.00100376411543
Jim1138,4,0.00100376411543
24.107.17.47,4,0.00100376411543
Sei Shonagon,4,0.00100376411543
Astuishin,4,0.00100376411543
Panchhee,4,0.00100376411543
JonnyDr,4,0.00100376411543
71.224.244.183,4,0.00100376411543
112.133.206.22,4,0.00100376411543
Pgan002,4,0.00100376411543
66.244.215.214,4,0.00100376411543
68.188.80.103,4,0.00100376411543
Shaddack,4,0.00100376411543
82.233.57.249,4,0.00100376411543
Corymgrenier,4,0.00100376411543
79.3.124.85,4,0.00100376411543
135.214.154.104,4,0.00100376411543
67.150.121.103,4,0.00100376411543
Alnaklilta,4,0.00100376411543
DumZiBoT,4,0.00100376411543
70.189.106.33,4,0.00100376411543
Raelx,4,0.00100376411543
66.188.88.111,4,0.00100376411543
Mjfan,4,0.00100376411543
Helpful Pixie Bot,4,0.00100376411543
Farialima,4,0.00100376411543
74.83.35.137,4,0.00100376411543
XLinkBot,4,0.00100376411543
145.8.104.65,4,0.00100376411543
UnitedStatesian,4,0.00100376411543
EricSerge,4,0.00100376411543
59.92.129.247,4,0.00100376411543
Sarahj2107,4,0.00100376411543
Belchfire,4,0.00100376411543
Zzuuzz,4,0.00100376411543
193.166.138.80,4,0.00100376411543
24.207.249.89,3,0.000752823086575
99.110.205.11,3,0.000752823086575
Ktappe,3,0.000752823086575
Iachoire,3,0.000752823086575
Pdn,3,0.000752823086575
71.224.157.27,3,0.000752823086575
Notthebestusername,3,0.000752823086575
SieBot,3,0.000752823086575
24.71.223.140,3,0.000752823086575
24.207.184.197,3,0.000752823086575
58.107.166.253,3,0.000752823086575
WriterHound,3,0.000752823086575
Ccpb101,3,0.000752823086575
Istig Kite,3,0.000752823086575
Michael Frind,3,0.000752823086575
96.35.4.117,3,0.000752823086575
Firsfron,3,0.000752823086575
108.70.174.234,3,0.000752823086575
Lmandrake74,3,0.000752823086575
Mcf295,3,0.000752823086575
WhisperToMe,3,0.000752823086575
Avoided,3,0.000752823086575
Njdeems,3,0.000752823086575
Randomgbear,3,0.000752823086575
83.78.130.194,3,0.000752823086575
Beefree,3,0.000752823086575
206.75.173.144,3,0.000752823086575
184.56.246.105,3,0.000752823086575
Brossow,3,0.000752823086575
Lyght,3,0.000752823086575
72.78.135.179,3,0.000752823086575
173.11.28.10,3,0.000752823086575
Geraldshields11,3,0.000752823086575
24.11.172.17,3,0.000752823086575
Mark Arsten,3,0.000752823086575
76.27.233.115,3,0.000752823086575
66.108.142.221,3,0.000752823086575
DuendeThumb,3,0.000752823086575
203.176.153.34,3,0.000752823086575
Hectorguinness,3,0.000752823086575
66.245.159.210,3,0.000752823086575
92.234.202.57,3,0.000752823086575
Woohookitty,3,0.000752823086575
72.220.96.153,3,0.000752823086575
201.255.155.62,3,0.000752823086575
ChrisGualtieri,3,0.000752823086575
Veryhuman,3,0.000752823086575
Canoe1967,3,0.000752823086575
188.141.59.53,3,0.000752823086575
Zad68,3,0.000752823086575
KHirsch,3,0.000752823086575
TitaniumDreads,3,0.000752823086575
Mac,3,0.000752823086575
Dobyblue,3,0.000752823086575
75.22.74.13,3,0.000752823086575
174.17.160.241,3,0.000752823086575
Open2universe,3,0.000752823086575
68.115.205.118,3,0.000752823086575
75.11.176.78,3,0.000752823086575
C.Fred,3,0.000752823086575
Jerem43,3,0.000752823086575
Donarreiskoffer,3,0.000752823086575
Oftentable,3,0.000752823086575
Brianhama,3,0.000752823086575
Rich Farmbrough,3,0.000752823086575
The Thing That Should Not Be,3,0.000752823086575
98.149.117.83,3,0.000752823086575
Cocoaguy,3,0.000752823086575
Heavyopenz,3,0.000752823086575
67.94.2.202,3,0.000752823086575
Lethaniol,3,0.000752823086575
FrescoBot,3,0.000752823086575
Madmardigan53,3,0.000752823086575
Reywas92,3,0.000752823086575
75.200.15.153,3,0.000752823086575
200.62.102.101,3,0.000752823086575
Cmichael,3,0.000752823086575
ErnieWilliams,3,0.000752823086575
Faithedup,3,0.000752823086575
LuK3,3,0.000752823086575
Mundus mutatio,3,0.000752823086575
98.233.129.128,3,0.000752823086575
Citation bot 1,3,0.000752823086575
122.169.20.45,3,0.000752823086575
199.197.126.242,2,0.000501882057716
Teknopup,2,0.000501882057716
115.240.3.241,2,0.000501882057716
Sciophobiaranger,2,0.000501882057716
Ratrace.nocheese,2,0.000501882057716
Mchanges!,2,0.000501882057716
71.142.216.150,2,0.000501882057716
75.31.111.15,2,0.000501882057716
Dewritech,2,0.000501882057716
Dags777,2,0.000501882057716
205.169.195.68,2,0.000501882057716
Tolly4bolly,2,0.000501882057716
94.212.37.227,2,0.000501882057716
Second Quantization,2,0.000501882057716
207.119.143.251,2,0.000501882057716
Deangup,2,0.000501882057716
USFac,2,0.000501882057716
IjonTichyIjonTichy,2,0.000501882057716
Trusilver,2,0.000501882057716
Cosmic.krishna,2,0.000501882057716
74.94.175.189,2,0.000501882057716
66.190.29.150,2,0.000501882057716
174.100.210.100,2,0.000501882057716
99.224.145.43,2,0.000501882057716
119.247.28.226,2,0.000501882057716
12.38.236.2,2,0.000501882057716
McGeddon,2,0.000501882057716
BlueMint,2,0.000501882057716
Dthomsen8,2,0.000501882057716
Eleland,2,0.000501882057716
86.137.138.129,2,0.000501882057716
70.80.234.163,2,0.000501882057716
Angry bee,2,0.000501882057716
RadicalBender,2,0.000501882057716
84.250.197.134,2,0.000501882057716
66.104.250.34,2,0.000501882057716
5.146.52.227,2,0.000501882057716
Olivier,2,0.000501882057716
Msw1002,2,0.000501882057716
Waterloo che 08,2,0.000501882057716
75.157.229.125,2,0.000501882057716
70.162.17.2,2,0.000501882057716
70.55.90.108,2,0.000501882057716
Ukexpat,2,0.000501882057716
184.166.255.168,2,0.000501882057716
NawlinWiki,2,0.000501882057716
65.193.97.3,2,0.000501882057716
Gobonobo,2,0.000501882057716
John,2,0.000501882057716
99.227.66.216,2,0.000501882057716
173.210.47.60,2,0.000501882057716
75.185.59.54,2,0.000501882057716
EduZenith,2,0.000501882057716
Piano non troppo,2,0.000501882057716
72.72.115.66,2,0.000501882057716
Balaji.ralla,2,0.000501882057716
CardinalDan,2,0.000501882057716
Capricorn42,2,0.000501882057716
76.121.177.16,2,0.000501882057716
Alvestrand,2,0.000501882057716
75.17.195.80,2,0.000501882057716
108.207.232.242,2,0.000501882057716
96.242.193.118,2,0.000501882057716
Aecis,2,0.000501882057716
38.126.111.37,2,0.000501882057716
64.254.45.12,2,0.000501882057716
219.88.176.226,2,0.000501882057716
MartinBot,2,0.000501882057716
69.181.129.141,2,0.000501882057716
67.237.196.146,2,0.000501882057716
70.51.230.10,2,0.000501882057716
BG19bot,2,0.000501882057716
Eswarfarmoz,2,0.000501882057716
98.240.123.30,2,0.000501882057716
71.210.140.237,2,0.000501882057716
66.69.221.162,2,0.000501882057716
Idaltu,2,0.000501882057716
130.216.172.94,2,0.000501882057716
207.225.190.74,2,0.000501882057716
Amytecko,2,0.000501882057716
Fuhghettaboutit,2,0.000501882057716
72.229.23.208,2,0.000501882057716
NineNineTwoThreeSix,2,0.000501882057716
ThaddeusB,2,0.000501882057716
Lateg,2,0.000501882057716
75.254.190.104,2,0.000501882057716
Tabletop,2,0.000501882057716
128.2.251.5,2,0.000501882057716
65.25.24.245,2,0.000501882057716
65.206.21.170,2,0.000501882057716
144.132.125.88,2,0.000501882057716
7thheavengtr,2,0.000501882057716
M4dr0b,2,0.000501882057716
Permafrost,2,0.000501882057716
Idleguy,2,0.000501882057716
Jschnur,2,0.000501882057716
99.239.120.49,2,0.000501882057716
Warlockboy94,2,0.000501882057716
149.165.11.76,2,0.000501882057716
70.171.5.36,2,0.000501882057716
EmausBot,2,0.000501882057716
Awunderlich90,2,0.000501882057716
Plasticup,2,0.000501882057716
NatashaBrizenskya,2,0.000501882057716
67.70.201.217,2,0.000501882057716
189.24.65.48,2,0.000501882057716
Mogism,2,0.000501882057716
YurikBot,2,0.000501882057716
28421u2232nfenfcenc,2,0.000501882057716
75.69.146.114,2,0.000501882057716
