revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,
321038,The Cunctator,569,569,0,0,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=321038&oldid=0,Initial stub,,,,,,,,,,,
354541,166.90.238.149,580,11,4349,4349,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=354541&oldid=321038,,,,,,,,,,,,
354546,Olivier,599,19,1267289,1262940,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=354546&oldid=354541,,,,,,,,,,,,
741149,Olivier,602,3,1267388,99,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=741149&oldid=354546,,,,,,,,,,,,
741152,212.104.156.132,787,185,14242653,12975265,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=741152&oldid=741149,,,,,,,,,,,,
1014225,212.104.156.132,602,-185,14242731,78,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=1014225&oldid=741152,,,,,,,,,,,,
2530202,Hephaestos,606,4,21902368,7659637,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=2530202&oldid=1014225,,,,,,,,,,,,
2530536,Tsavage,1679,1073,44525050,22622682,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=2530536&oldid=2530202,addition,,,,,,,,,,,
2530556,Tsavage,2197,518,44526702,1652,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=2530556&oldid=2530536,addition,,,,,,,,,,,
2697141,Tsavage,2251,54,44526810,108,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=2697141&oldid=2530556,addition,,,,,,,,,,,
2697345,65.193.97.3,2271,20,45642522,1115712,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=2697345&oldid=2697141,added links,,,,,,,,,,,
3392371,65.193.97.3,2296,25,45643527,1005,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=3392371&oldid=2697345,fixed link,,,,,,,,,,,
3805212,198.188.155.90,2296,0,50095502,4451975,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=3805212&oldid=3392371,fixed transposed date,,,,,,,,,,,
4071251,Alteripse,2295,-1,52805839,2710337,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4071251&oldid=3805212,fixing link,,,,,,,,,,,
4130786,24.202.201.8,2296,1,53919246,1113407,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4130786&oldid=4071251,,,,,,,,,,,,
4162084,206.149.36.234,2379,83,54216821,297575,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4162084&oldid=4130786,/* External link */,,,,,,,,,,,
4480098,DMG413,2481,102,54372475,155654,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4480098&oldid=4162084,,,,,,,,,,,,
4787811,64.108.128.114,2603,122,55933604,1561129,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4787811&oldid=4480098,,,,,,,,,,,,
4787849,205.188.116.149,0,-2603,57300815,1367211,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=4787849&oldid=4787811,,,,,,,,,,,,
5288542,Hadal,2603,2603,57300908,93,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=5288542&oldid=4787849,Reverted edits by 205.188.116.149 to last version by 64.108.128.114,,,,,,,,,,,
5288610,12.64.198.20,2740,137,59636175,2335267,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=5288610&oldid=5288542,,,,,,,,,,,,
5550397,12.64.198.20,2763,23,59636621,446,https://en.wikipedia.org/w/index.php?title=Monsanto&diff=5550397&oldid=5288610,,,,,,,,,,,,
